Code service CH|Reference document|1 Articles CGI|2 Articles CGI|3 Articles CGI|4 Articles CGI|5 Articles CGI|No disposition|Date mutation|Nature mutation|Valeur fonciere|No voie|B/T/Q|Type de voie|Code voie|Voie|Code postal|Commune|Code departement|Code commune|Prefixe de section|Section|No plan|No Volume|1er lot|Surface Carrez du 1er lot|2eme lot|Surface Carrez du 2eme lot|3eme lot|Surface Carrez du 3eme lot|4eme lot|Surface Carrez du 4eme lot|5eme lot|Surface Carrez du 5eme lot|Nombre de lots|Code type local|Type local|Identifiant local|Surface reelle bati|Nombre pieces principales|Nature culture|Nature culture speciale|Surface terrain
|||||||1|03/01/2018|Vente|97500,00|13||SQ|6035|DU LUXEMBOURG|35200|RENNES|35|238||LX|31||16||56|67,40|||||||2|2|Appartement||67|3|||
|||||||1|03/01/2018|Vente|97500,00|1||AV|4565|D IRLANDE|35200|RENNES|35|238||LX|35||99||||||||||1|3|Dépendance||0|0|||
|||||||1|08/01/2018|Vente|162000,00|62||RUE|7060|PAPU|35000|RENNES|35|238||AM|180||34||4|47,06|||||||2|2|Appartement||47|2|||
|||||||1|08/01/2018|Vente|162000,00|62||RUE|7060|PAPU|35000|RENNES|35|238||AM|180||432||||||||||1|3|Dépendance||0|0|||
|||||||1|05/01/2018|Vente|386400,00|31||RUE|1070|DE LA BOULAIS|35000|RENNES|35|238||BW|1057||||||||||||0|1|Maison||88|5|S||352
|||||||1|09/01/2018|Vente|70000,00|36||RUE|8710|SAINT LOUIS|35000|RENNES|35|238||AC|254||64||||||||||1|3|Dépendance||0|0|||
|||||||1|09/01/2018|Vente|70000,00|36||RUE|8710|SAINT LOUIS|35000|RENNES|35|238||AC|254||48||51||||||||2|2|Appartement||45|2|||
|||||||1|08/01/2018|Vente|186000,00|54||RUE|5802|DE LORIENT|35000|RENNES|35|238||AI|435||17||||||||||1|2|Appartement||67|3|||
|||||||1|08/01/2018|Vente|186000,00|54||RUE|5802|DE LORIENT|35000|RENNES|35|238||AI|435||23||||||||||1|3|Dépendance||0|0|||
|||||||1|02/01/2018|Vente en l'état futur d'achèvement|205500,00|||RUE|0200|DES VIOLETTES|35132|VEZIN-LE-COQUET|35|353||AD|544||14||||||||||1||||||||
|||||||1|02/01/2018|Vente en l'état futur d'achèvement|205500,00|||RUE|0200|DES VIOLETTES|35132|VEZIN-LE-COQUET|35|353||AD|544||56||||||||||1||||||||
|||||||1|08/01/2018|Vente en l'état futur d'achèvement|176000,00|79||AV|8450|DE ROCHESTER|35700|RENNES|35|238||IN|582||74||||||||||1||||||||
|||||||1|08/01/2018|Vente en l'état futur d'achèvement|176000,00|79||AV|8450|DE ROCHESTER|35700|RENNES|35|238||IN|582||110|84,99|||||||||1||||||||
|||||||1|04/01/2018|Vente en l'état futur d'achèvement|204000,00|||RUE|2670|JEAN MARIE DUHAMEL|35000|RENNES|35|238||BR|432||3||||||||||1||||||||
|||||||1|08/01/2018|Vente|146820,00|31||RUE|2710|DURAFOUR|35000|RENNES|35|238||BN|173||12|63,73|6||||||||2|2|Appartement||60|4|||
|||||||1|08/01/2018|Vente|146820,00|88||RUE|7090|DE PARIS|35000|RENNES|35|238||BN|562||||||||||||0||||||AG|IMM|139
|||||||1|08/01/2018|Vente|146820,00|||RUE|8270|RENE MARCILLE|35000|RENNES|35|238||BN|563||||||||||||0||||||AG|IMM|722
|||||||1|08/01/2018|Vente|146820,00|50||RUE|8270|RENE MARCILLE|35000|RENNES|35|238||BN|564||||||||||||0||||||S||1568
|||||||1|08/01/2018|Vente|146820,00|50||RUE|8270|RENE MARCILLE|35000|RENNES|35|238||BN|564||||||||||||0||||||AG|IMM|1322
|||||||1|08/01/2018|Vente|146820,00|||RUE|8270|RENE MARCILLE|35000|RENNES|35|238||BN|566||||||||||||0||||||S||1258
|||||||1|08/01/2018|Vente|146820,00|||RUE|8270|RENE MARCILLE|35000|RENNES|35|238||BN|566||||||||||||0||||||AG|IMM|2478
|||||||1|08/01/2018|Vente|146820,00|||RUE|2780|EDOUARD JORDAN|35000|RENNES|35|238||BN|573||||||||||||0||||||AG|IMM|444
|||||||1|08/01/2018|Vente|146820,00|||RUE|2780|EDOUARD JORDAN|35000|RENNES|35|238||BN|574||||||||||||0||||||S||204
|||||||1|08/01/2018|Vente|146820,00|||RUE|2780|EDOUARD JORDAN|35000|RENNES|35|238||BN|575||||||||||||0||||||AG|IMM|2904
|||||||1|04/01/2018|Vente|168000,00|1||ALL|1394|DE CANCALE|35700|RENNES|35|238||IM|66||10|81,44|||||||||1|2|Appartement||78|4|||
|||||||1|04/01/2018|Vente|168000,00|2|A|ALL|1394|DE CANCALE|35700|RENNES|35|238||IM|516||6||||||||||1|3|Dépendance||0|0|||
|||||||1|04/01/2018|Vente|246860,00|5123|||B591|LA CORNILLERE|35850|GEVEZE|35|120||AH|39||||||||||||0|1|Maison||100|2|S||564
|||||||1|04/01/2018|Vente|246860,00||||B591|LA CORNILLERE|35850|GEVEZE|35|120||AH|40||||||||||||0||||||P||1360
|||||||1|10/01/2018|Vente|125000,00|10||RUE|4290|HENRI BANNETEL|35200|RENNES|35|238||CT|248||21||||||||||1|3|Dépendance||0|0|||
|||||||1|10/01/2018|Vente|125000,00|5||RUE|1489|CECILE BRUNSCHVICG|35000|RENNES|35|238||CT|270||15||7|56,27|||||||2|2|Appartement||56|3|||
