NIVEAU;BRANCHE;LIB_NAF;Tranche de taille d'effectif;Chiffre d'affaires de la branche
a10 ;AZ ;Exploitation forestière ;Ensemble des tranches d'effectif ;2529
a10 ;AZ ;Exploitation forestière ;De 0 à 9 salariés en ETP ;1043
a10 ;AZ ;Exploitation forestière ;De 10 à 19 salariés en ETP ;269
a10 ;AZ ;Exploitation forestière ;De 20 à 249 salariés en ETP ;S
a10 ;AZ ;Exploitation forestière ;Plus de 250 salariés en ETP ;S
a21 ;A ;Exploitation forestière ;Ensemble des tranches d'effectif ;2529
a21 ;A ;Exploitation forestière ;De 0 à 9 salariés en ETP ;1043
a21 ;A ;Exploitation forestière ;De 10 à 19 salariés en ETP ;S
a21 ;A ;Exploitation forestière ;De 20 à 249 salariés en ETP ;757,6
a21 ;A ;Exploitation forestière ;Plus de 250 salariés en ETP ;S
a88 ;1;Culture et production animale, chasse et services annexes ;Ensemble des tranches d'effectif ;900,8
a88 ;1;Culture et production animale, chasse et services annexes ;De 0 à 9 salariés en ETP ;90,8
a88 ;1;Culture et production animale, chasse et services annexes ;De 10 à 19 salariés en ETP ;18,3
a88 ;1;Culture et production animale, chasse et services annexes ;De 20 à 249 salariés en ETP ;443,8
a88 ;1;Culture et production animale, chasse et services annexes ;Plus de 250 salariés en ETP ;347,8
a272 ;11;Cultures non permanentes ;Ensemble des tranches d'effectif ;417,5
a272 ;11;Cultures non permanentes ;De 0 à 9 salariés en ETP ;9,6
a272 ;11;Cultures non permanentes ;De 10 à 19 salariés en ETP ;9,9
a272 ;11;Cultures non permanentes ;De 20 à 249 salariés en ETP ;205,2
a272 ;11;Cultures non permanentes ;Plus de 250 salariés en ETP ;192,9
a272 ;12;Cultures permanentes ;Ensemble des tranches d'effectif ;2,6
a272 ;12;Cultures permanentes ;De 0 à 9 salariés en ETP ;0,5
a272 ;12;Cultures permanentes ;De 10 à 19 salariés en ETP ;0
a272 ;12;Cultures permanentes ;De 20 à 249 salariés en ETP ;2,1
a272 ;12;Cultures permanentes ;Plus de 250 salariés en ETP ;N
a272 ;13;Reproduction de plantes ;Ensemble des tranches d'effectif ;57,6
a272 ;13;Reproduction de plantes ;De 0 à 9 salariés en ETP ;16,2
a272 ;13;Reproduction de plantes ;De 10 à 19 salariés en ETP ;2,6
a272 ;13;Reproduction de plantes ;De 20 à 249 salariés en ETP ;3,9
a272 ;13;Reproduction de plantes ;Plus de 250 salariés en ETP ;34,9
a272 ;14;Production animale ;Ensemble des tranches d'effectif ;376,1
a272 ;14;Production animale ;De 0 à 9 salariés en ETP ;35,2
a272 ;14;Production animale ;De 10 à 19 salariés en ETP ;1,9
a272 ;14;Production animale ;De 20 à 249 salariés en ETP ;220,3
a272 ;14;Production animale ;Plus de 250 salariés en ETP ;118,6
a272 ;15;Culture et élevage associés ;Ensemble des tranches d'effectif ;1,4
a272 ;15;Culture et élevage associés ;De 0 à 9 salariés en ETP ;N
a272 ;15;Culture et élevage associés ;De 10 à 19 salariés en ETP ;N
a272 ;15;Culture et élevage associés ;De 20 à 249 salariés en ETP ;N
a272 ;15;Culture et élevage associés ;Plus de 250 salariés en ETP ;1,4
a272 ;16;Activités de soutien à l'agriculture et traitement primaire des récoltes ;Ensemble des tranches d'effectif ;45,6
a272 ;16;Activités de soutien à l'agriculture et traitement primaire des récoltes ;De 0 à 9 salariés en ETP ;29,4
a272 ;16;Activités de soutien à l'agriculture et traitement primaire des récoltes ;De 10 à 19 salariés en ETP ;4
a272 ;16;Activités de soutien à l'agriculture et traitement primaire des récoltes ;De 20 à 249 salariés en ETP ;12,3
a272 ;16;Activités de soutien à l'agriculture et traitement primaire des récoltes ;Plus de 250 salariés en ETP ;N
a88 ;2;Exploitation forestière ;Ensemble des tranches d'effectif ;1625,8
a88 ;2;Exploitation forestière ;De 0 à 9 salariés en ETP ;952,1
a88 ;2;Exploitation forestière ;De 10 à 19 salariés en ETP ;S
a88 ;2;Exploitation forestière ;De 20 à 249 salariés en ETP ;311,3
a88 ;2;Exploitation forestière ;Plus de 250 salariés en ETP ;S
a272 ;21;Sylviculture et autres activités forestières ;Ensemble des tranches d'effectif ;40,3
a272 ;21;Sylviculture et autres activités forestières ;De 0 à 9 salariés en ETP ;3,9
a272 ;21;Sylviculture et autres activités forestières ;De 10 à 19 salariés en ETP ;1,2
a272 ;21;Sylviculture et autres activités forestières ;De 20 à 249 salariés en ETP ;6,6
a272 ;21;Sylviculture et autres activités forestières ;Plus de 250 salariés en ETP ;28,6
a272 ;22;Exploitation forestière ;Ensemble des tranches d'effectif ;1583,1
a272 ;22;Exploitation forestière ;De 0 à 9 salariés en ETP ;946,4
a272 ;22;Exploitation forestière ;De 10 à 19 salariés en ETP ;S
a272 ;22;Exploitation forestière ;De 20 à 249 salariés en ETP ;304,1
a272 ;22;Exploitation forestière ;Plus de 250 salariés en ETP ;S
a272 ;24;Services de soutien à l'exploitation forestière ;Ensemble des tranches d'effectif ;2,4
a272 ;24;Services de soutien à l'exploitation forestière ;De 0 à 9 salariés en ETP ;1,8
a272 ;24;Services de soutien à l'exploitation forestière ;De 10 à 19 salariés en ETP ;N
a272 ;24;Services de soutien à l'exploitation forestière ;De 20 à 249 salariés en ETP ;0,6
a272 ;24;Services de soutien à l'exploitation forestière ;Plus de 250 salariés en ETP ;N
a88 ;3;Pêche et aquaculture ;Ensemble des tranches d'effectif ;2,5
a88 ;3;Pêche et aquaculture ;De 0 à 9 salariés en ETP ;N
a88 ;3;Exploitation forestière ;De 10 à 19 salariés en ETP ;N
a88 ;3;Pêche et aquaculture ;De 20 à 249 salariés en ETP ;2,5
a88 ;3;Pêche et aquaculture ;Plus de 250 salariés en ETP ;N
a272 ;32;Aquaculture ;Ensemble des tranches d'effectif ;2,5
a272 ;32;Aquaculture ;De 0 à 9 salariés en ETP ;N
a272 ;32;Aquaculture ;De 10 à 19 salariés en ETP ;N
a272 ;32;Aquaculture ;De 20 à 249 salariés en ETP ;2,5
a272 ;32;Aquaculture ;Plus de 250 salariés en ETP ;N
a10 ;BE ;Industrie manufacturière, industries extractives  et autres ;Ensemble des tranches d'effectif ;906189,6
a10 ;BE ;Industrie manufacturière, industries extractives  et autres ;De 0 à 9 salariés en ETP ;67235,2
a10 ;BE ;Industrie manufacturière, industries extractives  et autres ;De 10 à 19 salariés en ETP ;33247,4
a10 ;BE ;Industrie manufacturière, industries extractives  et autres ;De 20 à 249 salariés en ETP ;246894
a10 ;BE ;Industrie manufacturière, industries extractives  et autres ;Plus de 250 salariés en ETP ;558819,1
a10 ;BEy ;Industrie manufacturière, industries extractives  et autres, dont artisanat commercial (*) ;Ensemble des tranches d'effectif ;N
a10 ;BEy ;Industrie manufacturière, industries extractives  et autres, dont artisanat commercial (*) ;De 0 à 9 salariés en ETP ;N
a10 ;BEy ;Industrie manufacturière, industries extractives  et autres, dont artisanat commercial (*) ;De 10 à 19 salariés en ETP ;N
a10 ;BEy ;Industrie manufacturière, industries extractives  et autres, dont artisanat commercial (*) ;De 20 à 249 salariés en ETP ;N
a10 ;BEy ;Industrie manufacturière, industries extractives  et autres, dont artisanat commercial (*) ;Plus de 250 salariés en ETP ;N
a21 ;B ;Industries extractives ;Ensemble des tranches d'effectif ;6652,3
a21 ;B ;Industries extractives ;De 0 à 9 salariés en ETP ;944,2
a21 ;B ;Industries extractives ;De 10 à 19 salariés en ETP ;S
a21 ;B ;Industries extractives ;De 20 à 249 salariés en ETP ;3334,5
a21 ;B ;Industries extractives ;Plus de 250 salariés en ETP ;S
a88 ;6;Extraction d'hydrocarbures ;Ensemble des tranches d'effectif ;745,2
a88 ;6;Extraction d'hydrocarbures ;De 0 à 9 salariés en ETP ;S
a88 ;6;Extraction d'hydrocarbures ;De 10 à 19 salariés en ETP ;N
a88 ;6;Extraction d'hydrocarbures ;De 20 à 249 salariés en ETP ;338,6
a88 ;6;Extraction d'hydrocarbures ;Plus de 250 salariés en ETP ;S
a272 ;61;Extraction de pétrole brut ;Ensemble des tranches d'effectif ;S
a272 ;61;Extraction de pétrole brut ;De 0 à 9 salariés en ETP ;S
a272 ;61;Extraction de pétrole brut ;De 10 à 19 salariés en ETP ;N
a272 ;61;Extraction de pétrole brut ;De 20 à 249 salariés en ETP ;335,5
a272 ;61;Extraction de pétrole brut ;Plus de 250 salariés en ETP ;87,9
a272 ;62;Extraction de gaz naturel ;Ensemble des tranches d'effectif ;S
a272 ;62;Extraction de gaz naturel ;De 0 à 9 salariés en ETP ;S
a272 ;62;Extraction de gaz naturel ;De 10 à 19 salariés en ETP ;N
a272 ;62;Extraction de gaz naturel ;De 20 à 249 salariés en ETP ;3,1
a272 ;62;Extraction de gaz naturel ;Plus de 250 salariés en ETP ;S
a88 ;7;Extraction de minerais métalliques ;Ensemble des tranches d'effectif ;S
a88 ;7;Extraction de minerais métalliques ;De 0 à 9 salariés en ETP ;S
a88 ;7;Extraction de minerais métalliques ;De 10 à 19 salariés en ETP ;12,7
a88 ;7;Extraction de minerais métalliques ;De 20 à 249 salariés en ETP ;S
a88 ;7;Extraction de minerais métalliques ;Plus de 250 salariés en ETP ;N
a272 ;71;Extraction de minerais de fer ;Ensemble des tranches d'effectif ;S
a272 ;71;Extraction de minerais de fer ;De 0 à 9 salariés en ETP ;S
a272 ;71;Extraction de minerais de fer ;De 10 à 19 salariés en ETP ;0,2
a272 ;71;Extraction de minerais de fer ;De 20 à 249 salariés en ETP ;N
a272 ;71;Extraction de minerais de fer ;Plus de 250 salariés en ETP ;N
a272 ;72;Extraction de minerais de métaux non ferreux ;Ensemble des tranches d'effectif ;S
a272 ;72;Extraction de minerais de métaux non ferreux ;De 0 à 9 salariés en ETP ;S
a272 ;72;Extraction de minerais de métaux non ferreux ;De 10 à 19 salariés en ETP ;12,5
a272 ;72;Extraction de minerais de métaux non ferreux ;De 20 à 249 salariés en ETP ;S
a272 ;72;Extraction de minerais de métaux non ferreux ;Plus de 250 salariés en ETP ;N
a88 ;8;Autres industries extractives ;Ensemble des tranches d'effectif ;5660,4
a88 ;8;Autres industries extractives ;De 0 à 9 salariés en ETP ;S
a88 ;8;Autres industries extractives ;De 10 à 19 salariés en ETP ;S
a88 ;8;Autres industries extractives ;De 20 à 249 salariés en ETP ;2801
a88 ;8;Autres industries extractives ;Plus de 250 salariés en ETP ;1405,9
a272 ;81;Extraction de pierres, de sables et d'argiles ;Ensemble des tranches d'effectif ;5241,7
a272 ;81;Extraction de pierres, de sables et d'argiles ;De 0 à 9 salariés en ETP ;783,4
a272 ;81;Extraction de pierres, de sables et d'argiles ;De 10 à 19 salariés en ETP ;S
a272 ;81;Extraction de pierres, de sables et d'argiles ;De 20 à 249 salariés en ETP ;2684,8
a272 ;81;Extraction de pierres, de sables et d'argiles ;Plus de 250 salariés en ETP ;S
a272 ;89;Activités extractives n.c.a. ;Ensemble des tranches d'effectif ;418,7
a272 ;89;Activités extractives n.c.a. ;De 0 à 9 salariés en ETP ;S
a272 ;89;Activités extractives n.c.a. ;De 10 à 19 salariés en ETP ;44
a272 ;89;Activités extractives n.c.a. ;De 20 à 249 salariés en ETP ;116,2
a272 ;89;Activités extractives n.c.a. ;Plus de 250 salariés en ETP ;S
a88 ;9;Services de soutien aux industries extractives ;Ensemble des tranches d'effectif ;S
a88 ;9;Services de soutien aux industries extractives ;De 0 à 9 salariés en ETP ;S
a88 ;9;Services de soutien aux industries extractives ;De 10 à 19 salariés en ETP ;11,9
a88 ;9;Services de soutien aux industries extractives ;De 20 à 249 salariés en ETP ;S
a88 ;9;Services de soutien aux industries extractives ;Plus de 250 salariés en ETP ;N
a272 ;91;Activités de soutien à l'extraction d'hydrocarbures ;Ensemble des tranches d'effectif ;164,1
a272 ;91;Activités de soutien à l'extraction d'hydrocarbures ;De 0 à 9 salariés en ETP ;14,5
a272 ;91;Activités de soutien à l'extraction d'hydrocarbures ;De 10 à 19 salariés en ETP ;S
a272 ;91;Activités de soutien à l'extraction d'hydrocarbures ;De 20 à 249 salariés en ETP ;S
a272 ;91;Activités de soutien à l'extraction d'hydrocarbures ;Plus de 250 salariés en ETP ;N
a272 ;99;Activités de soutien aux autres industries extractives ;Ensemble des tranches d'effectif ;S
a272 ;99;Activités de soutien aux autres industries extractives ;De 0 à 9 salariés en ETP ;S
a272 ;99;Activités de soutien aux autres industries extractives ;De 10 à 19 salariés en ETP ;S
a272 ;99;Activités de soutien aux autres industries extractives ;De 20 à 249 salariés en ETP ;1
a272 ;99;Activités de soutien aux autres industries extractives ;Plus de 250 salariés en ETP ;N
a21 ;C ;Industrie manufacturière ;Ensemble des tranches d'effectif ;749091,5
a21 ;C ;Industrie manufacturière ;De 0 à 9 salariés en ETP ;53980,2
a21 ;C ;Industrie manufacturière ;De 10 à 19 salariés en ETP ;29599,7
a21 ;C ;Industrie manufacturière ;De 20 à 249 salariés en ETP ;220807,3
a21 ;C ;Industrie manufacturière ;Plus de 250 salariés en ETP ;444714,6
a21 ;Cy ;Industrie manufacturière, dont artisanat commercial (*) ;Ensemble des tranches d'effectif ;N
a21 ;Cy ;Industrie manufacturière, dont artisanat commercial (*) ;De 0 à 9 salariés en ETP ;N
a21 ;Cy ;Industrie manufacturière, dont artisanat commercial (*) ;De 10 à 19 salariés en ETP ;N
a21 ;Cy ;Industrie manufacturière, dont artisanat commercial (*) ;De 20 à 249 salariés en ETP ;N
