;Valeur ajoutée - y compris autres produits et autres charges ;Frais de personnel ;Excédent brut d'exploitation ;Capacité d'autofinancement ;Résultat courant avant impôts ;Résultat net comptable ;Investissements corporels bruts hors apports 
Exploitation forestière;363,0;237,0;117,2;111,2;38,7;57,4;112
Industrie manufacturière, industries extractives  et autres;252 207,3;174 552,3;62 316,6;62 188,5;39 827,9;25 618,7;52983,1
Industrie manufacturière, industries extractives  et autres, dont artisanat commercial (*);6 377,7;4 847,0;1 371,3;1 290,0;733,5;769,6;842,2
Construction;89 972,9;71 433,8;15 255,3;16 192,8;16 845,8;14 365,1;7442
Commerce de gros et de détail, transports, hébergement et restauration;326 255,9;218 208,9;67 092,8;57 614,0;46 708,0;32 526,2;47139,3
Information et communication;79 374,3;50 653,5;25 272,9;22 723,6;10 785,0;5 242,1;10005,7
Activités auxiliaires de services financiers et d'assurance;18 444,2;12 640,4;4 498,3;31 266,6;20 903,6;14 711,7;1956
Activités immobilières;43 722,6;11 599,1;26 371,9;22 642,0;11 841,6;14 135,3;37539,1
Activités spécialisées, scientifiques et techniques et activités de services administratifs et de soutien;174 460,4;137 343,9;31 174,4;105 411,5;89 594,8;88 325,5;25456,4
Administration publique, enseignement, santé humaine et action sociale;62 997,0;32 450,1;27 655,7;26 758,4;25 562,6;24 721,7;2052,4
Autres activités de services;21 314,7;14 634,4;5 428,1;4 876,4;3 284,6;3 275,1;2852,2
Toutes activités;1 069 112,3;723 753,2;265 183,3;349 785,0;265 392,5;222 978,7;187538,3
Champ : France - Ensemble des unités légales marchandes y compris auto-entrepreneurs, hors agriculture et hors services financiers et d'assurance (mais y compris auxiliaires de services financiers et d'assurance, sociétés holdings);;;;;;;
Source : Insee, Esane 2013;;;;;;;
