Identifiant;Type d'événement;Ident Type;Lieu de l'événement;Nom Organisme;Type d'organisme;Ident Organisme;Etat;Theme;Style;Catégorie;Genre;Ident Genre;Titre;Texte Début;Texte Milieu;Texte Fin;Commune;Département;Code INSEE;Code Postal;Coordonnées GPS;Date Modification;Jour 1;Jour 2;Jour 3;Jour Du;Jour Au;Jour Min;Jour Max;Mention Gratuit;Mention Payant;Tarif Général;Tarif réduit;Tarif Autre;Photo 1 Chemin;Photo 1 Légende;Photo 1 Crédit;Photo 2 Chemin;Photo 2 Légende;Photo 2 Crédit;Photo 3 Chemin;Photo 3 Légende;Photo 3 Crédit;Age Minimum;Age Maximum;Durée;Mention Complet;Mention Accessible Handicap;Lien Billeterie;Liens Vidéo;Liens Son;Liens Dossiers De Presse;Tags;Groupes;Titre Libre;Texte Libre Court;Texte Libre Long;Groupes Organismes;Nombres Participants;Nombre Exposants;URL Agenda Ouest-France;Groupes Ident;Groupes Organismes Ident;Langues;Langues Ident;Thematiques;Thematiques Ident;Categorie age;Categorie age Ident
6413543;Visite;27;29/Plouhinec;Ville de Plouhinec;Mairie;350039;V;Loisir;Voir visiter;Sorties, visites (monuments, parcs, zoo,...);Visite;148;Visite guidée des sites archéologiques de Menez Drégan;;Visite guidée de l'ancienne grotte marine de Menez Dregan qui a connu une occupation au paléolithique et des dolmens de la pointe du Souc'h datant du néolithique. Au fil de la visite : découverte de la façon dont vivaient les hommes durant ces périodes de la préhistoire et mise en lumière des appor.;Mercredi 24 juillet, 14h30, Menez Dregan, rue de la Corniche, Plouhinec. Tarif 4.50€, réduit 3€, autre : gratuit moins de 7 ans. Contact et réservation : 06 38 59 04 40, reservation.animations@ville-plouhinec29.fr, http://www.plouhinec.bzh;Plouhinec;29;29197;29780;47.98784, -4.475021;2019-01-17;2019-07-24;;;;;2019-07-24;2019-07-24;non;oui;4.5;3.0;gratuit moins de 7 ans;http://photos.infolocale.fr/infoLocale/annonce/2019/0116/6413543/_1.jpg;Visite des sites archéologiques;;;;;;;;;;;;;;;;;;;;;;;;;https://infolocale.ouest-france.fr/plouhinec-29197/agenda/visite-guidee-des-sites-archeologiques-de-menez-dregan_6413543;;;Français;fr_FR;;;;
6413666;Animation jeunes;11;29/Plouhinec;Ville de Plouhinec;Mairie;350039;V;Loisir;Loisirs et sports;Animation loisirs jeunes;Animation;143;Biblio-sable;;La bibliothèque de Plouhinec s'exporte sur la plage de Mesperleuc, à la rencontre des estivants et des locaux. Livres, documentaires, magazines, journaux, BD... pourront être empruntés gratuitement.;Vendredi 19 juillet, 14h30 à 17h, Plage de Mesperleuc, Plouhinec. Gratuit. Contact et réservation : 06 38 59 04 40, reservation.animations@ville-plouhinec29.fr, http://www.plouhinec.bzh;Plouhinec;29;29197;29780;48.00298, -4.503635;2019-01-17;2019-07-19;;;;;2019-07-19;2019-07-19;oui;non;;;;http://photos.infolocale.fr/infoLocale/annonce/2019/0116/6413666/_1.jpg;bibliosable;Nédélec;;;;;;;;;;;;;;;;;;;;;;;;https://infolocale.ouest-france.fr/plouhinec-29197/agenda/biblio-sable_6413666;;;Français;fr_FR;;;;
6413674;Animation jeunes;11;29/Plouhinec;Ville de Plouhinec;Mairie;350039;V;Loisir;Loisirs et sports;Animation loisirs jeunes;Animation;143;Biblio-sable;;La bibliothèque de Plouhinec s'exporte sur la plage de Mesperleuc, à la rencontre des estivants et des locaux. Livres, documentaires, magazines, journaux, BD... pourront être empruntés gratuitement.;Vendredi 9 août, 14h30 à 17h, Plage de Mesperleuc, Plouhinec. Gratuit. Contact et réservation : 06 38 59 04 40, reservation.animations@ville-plouhinec29.fr, http://www.plouhinec.bzh;Plouhinec;29;29197;29780;48.00298, -4.503635;2019-01-17;2019-08-09;;;;;2019-08-09;2019-08-09;oui;non;;;;http://photos.infolocale.fr/infoLocale/annonce/2019/0116/6413674/_1.jpg;bibliosable;Nédélec;;;;;;;;;;;;;;;;;;;;;;;;https://infolocale.ouest-france.fr/plouhinec-29197/agenda/biblio-sable_6413674;;;Français;fr_FR;;;;
6413809;Sport;24;35/Ercé-près-Liffré;Association sportive Ercé-Près-Liffré football;Association;132334;V;Loisir;Loisirs et sports;Sport;Mémento sportif;289;Association sportive, football;Mémento sportif.;Coupe du Conseil général 6e tour, l'équipe A reçoit Louvigné-la- Bazouge (D1) à 14 h 30. L'équipe B se déplace à Melesse 3 à 12 h 30 pour les 32e de finale de la coupe du challenge 35.;Dimanche 20 janvier, Ercé-près-Liffré.;Ercé-près-Liffré;35;35107;35340;48.25592, -1.51572;2019-01-17;2019-01-20;;;;;2019-01-20;2019-01-20;non;non;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;https://infolocale.ouest-france.fr/erce-pres-liffre-35107/agenda/association-sportive-football_6413809;;;Français;fr_FR;;;;
6413577;Horaire piscine, bibliothèque;16;56/Hennebont;Complexe aquatique de Kerbihan;Équipement (tourisme, culture, sport et loisir);367581;V;Pratique;Loisirs et sports;Horaires piscine, bibliothèque ...;Piscine;201;Complexe aquatique de Kerbihan;;Baignade publique.;Mercredi 13 février, 10h à 13h et 14h30 à 19h, 11, avenue Mendes-France, Hennebont. Contact : 02 97 05 49 10.;Hennebont;56;56083;56700;47.80337, -3.27874;2019-01-17;2019-02-13;;;;;2019-02-13;2019-02-13;non;non;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;https://infolocale.ouest-france.fr/hennebont-56083/agenda/complexe-aquatique-de-kerbihan_6413577;;;Français;fr_FR;;;;
6413903;Religion;50;29/Mahalon;Paroisse Saint-Tugdual;Institution religieuse;366710;V;Pratique;Réunions formations cérémonies;Cérémonie, commémoration, religions;Messe;108;Messe;;A 18 h 30, collégiale de Pont-Croix. Dimanche 20 à 9 h 30 à Plogoff. 11 h à Audierne et l'Ile-de-Sein. Contact : www.paroissesaintugdual.fr.;Samedi 19 janvier, 17h, église de, Mahalon.;Mahalon;29;29143;29790;48.03506, -4.43608;2019-01-17;2019-01-19;;;;;2019-01-19;2019-01-19;non;non;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;https://infolocale.ouest-france.fr/mahalon-29143/agenda/messe_6413903;;;Français;fr_FR;;;;
6413330;Horaire piscine, bibliothèque;16;44/Vallons-de-l'Erdre;Compa Bibliofil;Administration, service public, parapublic;317717;V;Pratique;Loisirs et sports;Horaires piscine, bibliothèque ...;Bibliothèque;198;Bibliothèque;;Rencontre et dédicace avec Séverine Vidal, auteure de nombreux livres pour enfants, ados et adultes. En partenariat avec le collège Louis Pasteur.;Mardi 5 février, 19h, bibliothèque Les mots passant, 16, avenue de Cossé-Brissac, Saint-Mars-la-Jaille, Vallons-de-l'Erdre. Contact : 02 40 97 37 26.;Vallons-de-l'Erdre;44;44180;44540;47.5248, -1.184415;2019-01-17;2019-02-05;;;;;2019-02-05;2019-02-05;non;non;;;;http://photos.infolocale.fr/infoLocale/annonce/2019/0116/6413330/_1.jpg;;;;;;;;;;;;;;;;;;;;;;;;;;https://infolocale.ouest-france.fr/vallons-de-lerdre-44180/agenda/bibliotheque_6413330;;;Français;fr_FR;;;;
6414177;Randonnée;14;22/Saint-Cast-le-Guildo;Randonnée castine;Association;320386;V;Loisir;Loisirs et sports;Sport;Randonnée pédestre;112;Randonnée pédestre;;Avec l’association Randonnée castine. Départ à 14 h 30 du parking du pont du Frémur, à Saint-Briac-sur-Mer, d’une rando de 4 km, avec M. Claire Guyon, Maryvonne Gadouais et d’une rando de 6 km à 7 km, avec Madeleine Hamon, Madeleine Menier.;Mercredi 23 janvier, 14h, parking de l’office de tourisme, Saint-Cast-le-Guildo.;Saint-Cast-le-Guildo;22;22282;22380;48.63209, -2.259804;2019-01-17;2019-01-23;;;;;2019-01-23;2019-01-23;non;non;;;;http://photos.infolocale.fr/infoLocale/annonce/2019/0117/6414177/_1.jpg;;;;;;;;;;;;;;;;;;;;;;;;;;https://infolocale.ouest-france.fr/saint-cast-le-guildo-22282/agenda/randonnee-pedestre_6414177;;;Français;fr_FR;;;;
6414449;Randonnée;14;44/Donges;Office socioculturel;Association;37312;V;Loisir;Loisirs et sports;Sport;Randonnée pédestre;112;Randonnée pédestre;;La prochaine sortie rando avec l'OSCD aura lieu à Saint-Nazaire. Circuit des étangs, 10 km. Inscription dès à présent. Activité gratuite avec réservation obligatoire. Adhésion 2019 demandée.;Mardi 5 février, 13h30, devant l'OSCD, Donges. Contact et réservation : 02 40 91 00 55, adultesoscd@orange.fr;Donges;44;44052;44480;47.31828, -2.07538;2019-01-17;2019-02-05;;;;;2019-02-05;2019-02-05;non;non;;;;;;;;;;;;;;;;;;;;;;;;;;;Facebook;;;https://infolocale.ouest-france.fr/donges-44052/agenda/randonnee-pedestre_6414449;;52;Français;fr_FR;;;;
6414223;Cérémonie, commémoration;38;29/Douarnenez;Asso Téléthon Force T de douarnenez;Association;332438;V;Pratique;Réunions formations cérémonies;Cérémonie, commémoration, religions;Cérémonie;110;Remise du chèque Téléthon à l'AFM;;Les bénévoles et l'ensemble des partenaires ayant contribué au succès de l'édition du Téléthon 2018, sont cordialement invités à la soirée de remise du chèque à l'AFM, et au pot amical qui suivra.;Vendredi 25 janvier, 18h, Patronage de la Stella Maris, rue des Baigneurs, Douarnenez.;Douarnenez;29;29046;29100;48.09579, -4.329251;2019-01-17;2019-01-25;;;;;2019-01-25;2019-01-25;non;non;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;https://infolocale.ouest-france.fr/douarnenez-29046/agenda/remise-du-cheque-telethon-a-lafm_6414223;;;Français;fr_FR;;;;
6413890;Jeux, concours;29;49/Montrevault-sur-Èvre;AFN-Fnaca Saint-Pierre-Montlimart;Association;73102;V;Loisir;Loisirs et sports;Jeux, concours, rallye;Concours;286;Concours de belote organisé par les Anciens d’Algérie-FNACA;;Inscriptions à partir de 13 h 30.;Samedi 2 février, 14h, centre de loisirs espace le Vallon-d’Or, place Romerstein, Saint-Pierre-Montlimart, Montrevault-sur-Èvre.;Montrevault-sur-Èvre;49;49218;49110;47.27074, -1.025172;2019-01-17;2019-02-02;;;;;2019-02-02;2019-02-02;non;non;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;https://infolocale.ouest-france.fr/montrevault-sur-evre-49218/agenda/concours-de-belote-organise-par-les-anciens-dalgerie-fnaca_6413890;;;Français;fr_FR;;;;
6414318;Atelier, activité de loisirs;31;56/Meslan;Ville de Meslan;Mairie;34312;V;Loisir;Loisirs et sports;Atelier, activité de loisirs;Autre;141;« Mercred’histoires » : contes et chansons pour petites oreilles.;;De 6 mois à 4 ans.;Mercredi 30 janvier, 10h30, Ludothèque, 10, rue du Presbytère, Meslan. Gratuit. Contact : 02 97 34 36 96.;Meslan;56;56131;56320;47.99386, -3.433306;2019-01-17;2019-01-30;;;;;2019-01-30;2019-01-30;oui;non;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;https://infolocale.ouest-france.fr/meslan-56131/agenda/mercredhistoires-contes-et-chansons-pour-petites-oreilles_6414318;;;Français;fr_FR;;;;
6414261;Communiqué public;5;49/Chemillé-en-Anjou;les Melay de France 49;Association;73030;V;Pratique;Vie quotidienne;Autres communiqués des administrations (mairie...);Autre;270;Barquettes de fressure à réserver;;Réservation avant le vendredi 1er février. Livraison le samedi 2 février dans la salle des loisirs de Melay à partir de 18 h.;Samedi 2 février, Melay, Chemillé-en-Anjou. Tarif 5€. Réservation : 02 41 30 75 69, 02 41 30 34 69, ripochetricoire@wanadoo.fr;Chemillé-en-Anjou;49;49092;49120;47.21036, -0.7292;2019-01-17;2019-02-02;;;;;2019-02-02;2019-02-02;non;oui;5.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;https://infolocale.ouest-france.fr/chemille-en-anjou-49092/agenda/barquettes-de-fressure-a-reserver_6414261;;;Français;fr_FR;;;;
