Numéro;Libellé;Description;Quartier;Réalisé;Année_Budget;Lien_page_projet;Photo;Latitude;Longitude;Geolocalisé;Geo
1-150;ACCES AU NUMERIQUE POUR TOUS — ILÔT ITALIE;Des outils informatiques (ordinateurs et imprimantes) ont été mis à disposition à l'Association Le Crabe Rouge afin de permettre l'accès à tous au numérique.;11 - Le Blosne;Réalisé;Budget participatif #1 (2016);https://fabriquecitoyenne.rennes.fr/projects/budget-participatif-2016/collect/collecte-des-propositions-1/proposals/acces-au-numerique-pour-tous-ilot-Italie;https://fabriquecitoyenne.rennes.fr/media/default/0001/01/7be16fd803d83dc15e78849cc6f47ef0597bbac3.jpeg;48.085939;-1.667604;O;48.085939,-1.667604
1-206;Jardin en trou de serrure;Il s'agit d'un jardin surélevé dont le centre est composé d’une colonne de compostage accessible par un chemin. Le compost irrigue et alimente l’ensemble du potager en nutriments. Un moyen simple à mettre en place et pourtant très efficace pour valoriser le compost. Ce procédé tient son nom de sa forme.;1 - Centre;Réalisé;Budget participatif #1 (2016);https://fabriquecitoyenne.rennes.fr/projects/budget-participatif-2016/collect/collecte-des-propositions-1/proposals/jardin-en-trou-de-serrure;;48.104744;-1.67451;O;48.104744,-1.67451
1-339;Piste cyclable;Sécurisation de la piste cyclable en bas de la rue Roger-Henri Guerrand, côté boulevard de Cleunay par un renforcement du marquage au sol.;9 - Cleunay - Arsenal - Redon;Réalisé;Budget participatif #1 (2016);https://fabriquecitoyenne.rennes.fr/projects/budget-participatif-2016/collect/collecte-des-propositions-1/proposals/piste-cyclable;https://fabriquecitoyenne.rennes.fr/media/default/0001/01/9360eb03e4ceb986bf903c0d91ea1d8991ff9927.jpeg;48.102001;-1.698543;O;48.102001,-1.698543
1-362;Pose de cendriers de rue;Mise en place de cendriers de rue.;1 - Centre;Réalisé;Budget participatif #1 (2016);https://fabriquecitoyenne.rennes.fr/projects/budget-participatif-2016/collect/collecte-des-propositions-1/proposals/pose-de-cendriers-de-rue;https://fabriquecitoyenne.rennes.fr/media/default/0001/02/9a71c3eab595356bd9ec2ec356c9669093c020d7.jpeg;48.108047;-1.680281;O;48.108047,-1.680281
1-364;"Pose de bancs publics et chaises fixées au sol
Place de la Mairie";Il s'agit de renforcer la présence de bancs sur l'espace public, adaptés aux personnes âgées et en situation de handicap.;;Réalisé;Budget participatif #1 (2016);https://fabriquecitoyenne.rennes.fr/projects/budget-participatif-2016/collect/collecte-des-propositions-1/proposals/pose-de-bancs-publics-et-chaises-fixees-au-sol;https://fabriquecitoyenne.rennes.fr/media/default/0001/01/0e1bcb9d2d63639025ae9ba192b9f5b76aaf7890.jpeg;48.111383;-1.679262;O;48.111383,-1.679262
1-364;"Pose de bancs publics et chaises fixées au sol
Rue Toullier";Il s'agit de renforcer la présence de bancs sur l'espace public, adaptés aux personnes âgées et en situation de handicap.;;Réalisé;Budget participatif #1 (2016);https://fabriquecitoyenne.rennes.fr/projects/budget-participatif-2016/collect/collecte-des-propositions-1/proposals/pose-de-bancs-publics-et-chaises-fixees-au-sol;https://fabriquecitoyenne.rennes.fr/media/default/0001/01/cbdd7cddb8eeb60b51629a3a04af640a66d9f32c.jpeg;48.109304;-1.676193;O;48.109304,-1.676193
1-364;"Pose de bancs publics et chaises fixées au sol
Rue de la Monnaie";Il s'agit de renforcer la présence de bancs sur l'espace public, adaptés aux personnes âgées et en situation de handicap.;;Réalisé;Budget participatif #1 (2016);https://fabriquecitoyenne.rennes.fr/projects/budget-participatif-2016/collect/collecte-des-propositions-1/proposals/pose-de-bancs-publics-et-chaises-fixees-au-sol;https://fabriquecitoyenne.rennes.fr/media/default/0001/01/daa96dfdc824da6519449b92c06d6d489b7cb100.jpeg;48.110691;-1.68494;O;48.110691,-1.68494
1-433;VELO BOX : des consignes a vélos sécurisés;Installation de vélo box dans le centre-ville, proche de chez soi et ou de son lieu de travail pour laisser son vélo en toute sécurité.;;Non réalisable;Budget participatif #1 (2016);https://fabriquecitoyenne.rennes.fr/projects/budget-participatif-2016/collect/collecte-des-propositions-1/proposals/velo-box-des-consignes-a-velos-securises;;;;N;
1-487;puisque l'on va dans le mur, autant le rendre beau;Il s'agit de faire intervenir un artiste ou graffeur pour habiller des façades d'immeubles sur le quartier du Blosne, en concertation avec les habitants.;;Réalisé;Budget participatif #1 (2016);https://fabriquecitoyenne.rennes.fr/projects/budget-participatif-2016/collect/collecte-des-propositions-1/proposals/puisque-l-on-va-dans-le-mur-autant-le-rendre-beau;;48.1019047;-1.6842854;O;48.1019047,-1.6842854
1-560;"Croque-Rennes
Ferme des Gallets";Création de boîtes à livres ludiques dans les parcs, sur les places et à côté des association de quartier. 24 boîtes à livres sont proposés sur le territoire rennais, pour que tout le monde puisse déposer et prendre un ou plusieurs livres qu'il a envie de lire, puis peut les remettre pour que d'autres personnes en profitent à leur tour.;;Réalisé;Budget participatif #1 (2016);https://fabriquecitoyenne.rennes.fr/projects/budget-participatif-2016/collect/collecte-des-propositions-1/proposals/croque-rennes;https://fabriquecitoyenne.rennes.fr/media/default/0001/01/6e37abf837410e5b61094a4fb46a029cd0e56a99.jpeg;48.124462;-1.639684;O;48.124462,-1.639684
1-560;"Croque-Rennes
Parc de Maurepas";Création de boîtes à livres ludiques dans les parcs, sur les places et à côté des association de quartier. 24 boîtes à livres sont proposés sur le territoire rennais, pour que tout le monde puisse déposer et prendre un ou plusieurs livres qu'il a envie de lire, puis peut les remettre pour que d'autres personnes en profitent à leur tour.;;Réalisé;Budget participatif #1 (2016);https://fabriquecitoyenne.rennes.fr/projects/budget-participatif-2016/collect/collecte-des-propositions-1/proposals/croque-rennes;https://fabriquecitoyenne.rennes.fr/media/default/0001/01/6c8da4fd5eba24dfcaf494d6b69a41a5e3b8c343.jpeg;48.12294;-1.655244;O;48.12294,-1.655244
1-561;Mise en place de conteneurs enterrés rue de Paris/rue Edmond Lailler;Mise en place de conteneurs enterrés rue de Paris/rue Edmond Lailler.;2 - Thabor - Saint-Hélier - Alphonse Guérin;Réalisé;Budget participatif #1 (2016);https://fabriquecitoyenne.rennes.fr/projects/budget-participatif-2016/collect/collecte-des-propositions-1/proposals/mise-en-place-de-conteneurs-enterres-rue-de-paris-rue-edmond-laille;https://fabriquecitoyenne.rennes.fr/media/default/0001/01/d511b8a011cb000a411a041c38af5cb68246c806.jpeg;48.114049;-1.659332;O;48.114049,-1.659332
1-564;"Un ""four à pain social"" dans le parc du Petit Bois, au Landry";"Ce projet consiste à valoriser le parc du ""Petit-Bois"", situé au bout du Parc du Landry, en y construisant un four à pain social.";7 - Francisco Ferrer - Landry - Poterie;Réalisé;Budget participatif #1 (2016);https://fabriquecitoyenne.rennes.fr/projects/budget-participatif-2016/collect/collecte-des-propositions-1/proposals/un-four-a-pain-social-dans-le-parc-du-petit-bois-au-landry;;48.092707;-1.643512;O;48.092707,-1.643512
1-572;"table de pique -nique aménagés
Parc des Gayeulles";Installation de tables de pique-nique adaptées aux personnes à mobilité réduite parc de Maurepas et parc des Gayeulles.;;Réalisé;Budget participatif #1 (2016);https://fabriquecitoyenne.rennes.fr/projects/budget-participatif-2016/collect/collecte-des-propositions-1/proposals/table-de-pique-nique-amenages;https://fabriquecitoyenne.rennes.fr/media/default/0001/02/0c63ec87bd53149bc9bfeacd02f479ce5ef5c874.jpeg;48.134597;-1.647305;O;48.134597,-1.647305
1-604;"Dessiner des marelles et des jeux sur les trottoirs et places de la ville
rue du verger";Création de 24 marelles, soit deux par quartier, pour permettre aux enfants de jouer dehors dans tout endroit.;;Réalisé;Budget participatif #1 (2016);https://fabriquecitoyenne.rennes.fr/projects/budget-participatif-2016/collect/collecte-des-propositions-1/proposals/dessiner-des-marelles-et-des-jeux-sur-les-trottoirs-et-places-de-la-ville;https://fabriquecitoyenne.rennes.fr/media/default/0001/02/2915db06294037fc724500ba2e1ea79349ccf694.jpeg;48.1067773;-1.666947;O;48.1067773,-1.666947
1-604;"Dessiner des marelles et des jeux sur les trottoirs et places de la ville
13 rue de Redon";Création de 24 marelles, soit deux par quartier, pour permettre aux enfants de jouer dehors dans tout endroit.;;Réalisé;Budget participatif #1 (2016);https://fabriquecitoyenne.rennes.fr/projects/budget-participatif-2016/collect/collecte-des-propositions-1/proposals/dessiner-des-marelles-et-des-jeux-sur-les-trottoirs-et-places-de-la-ville;https://fabriquecitoyenne.rennes.fr/media/default/0001/02/2915db06294037fc724500ba2e1ea79349ccf694.jpeg;48.1053;-1.689763;O;48.1053,-1.689763
1-627;Aménagement d'un jardin partagé;"Un jardin partagé dénommé ""le jardin de l'amitié"" a été installé et équipé rue Vincent Auriol. (abords avec clôture, mise en place de bacs surélévés, outils, composteur, ...)";10 - Villejean - Beauregard;Réalisé;Budget participatif #1 (2016);https://fabriquecitoyenne.rennes.fr/projects/budget-participatif-2016/collect/collecte-des-propositions-1/proposals/amenagement-d-un-jardin-partage;https://fabriquecitoyenne.rennes.fr/media/default/0001/01/3b86e665d28efb0a8dbeee09d9964dbe66852708.jpeg;48.120896;-1.707255;O;48.120896,-1.707255
2-405;Colorer les jours de pluie;La proposition consiste à appliquer au sol des peintures qui changent de couleur et d'aspect par temps pluvieux. Ce projet pourra se mettre en place avec l'appui d'usagers et d'associations sur un espace public fréquenté, tout en n'ayant que peu de contraintes en termes de circulation routière.;;A l'étude;Budget participatif #2 (2017);https://fabriquecitoyenne.rennes.fr/projects/budget-participatif-2/collect/depot-des-projets-1/proposals/colorer-les-jours-pluie;;;;N;
2-54;Une centrale solaire, énergie positive et pédagogique;Le projet consiste à installer une centrale de production d'énergie solaire sur le toit de l'école Albert de Mun.;8 - Sud gare;Réalisé;Budget participatif #2 (2017);https://fabriquecitoyenne.rennes.fr/projects/budget-participatif-2/collect/depot-des-projets-1/proposals/une-centrale-solaire-energie-positive-et-pedagogique;;48.101369;-1.666672;O;48.101369,-1.666672
