b_numero,b_libelle,b_description,b_realise,b_lien,b_photo,b_year,b_q_id,b_quartier,b_x,b_y
1-19,Piste cyclable rue Doyen Albert Bouzat,Réalisation d'aménagements pour une meilleure sécurité des cyclistes.,En cours,https://fabriquecitoyenne.rennes.fr/projects/budget-participatif-2016/collect/collecte-des-propositions-1/proposals/piste-cyclable-rue-doyen-albert-bouzat,https://fabriquecitoyenne.rennes.fr/media/default/0001/02/f0ffe0e78cf658e334fe56c83dc747eb562856c2.jpeg,2016,6.0,Jeanne d'Arc - Longs Champs -  Beaulieu,-182326.6317465974,6128211.977260812
1-171,Cultiver la terre à l’école,"Mise en place d'une petite exploitation agricole urbaine. Installation d'un verger dans la cour des grands, un potager dans la cour des maternelles reliés par un jardin d'aromatiques au centre et agrémenté de quelques bacs mobiles pour fleurir l'école.",Réalisé,https://fabriquecitoyenne.rennes.fr/projects/budget-participatif-2016/collect/collecte-des-propositions-1/proposals/cultiver-la-terre-a-l-ecole,https://fabriquecitoyenne.rennes.fr/media/default/0001/02/b831742404fb5f7e7a8678493dc04c2e2c03e213.jpeg,2016,12.0,Bréquigny,-188467.57145620833,6120869.331032259
1-276,réaménager la place hoche,"Création d'une grande plateforme sous la forme d'un banc géant. Destiné à
favoriser la convivialité et l'animation de la placen il permet de s'asseoir, se
reposer, se rencontrer… Pourvu de plantations, le «banc géant» intègre quelques
marronniers de la place. Une mise en lumière vient agrémenter l'ensemble !",Réalisé,https://fabriquecitoyenne.rennes.fr/projects/budget-participatif-2016/collect/collecte-des-propositions-1/proposals/reamenager-la-place-hoche,https://fabriquecitoyenne.rennes.fr/media/default/0001/01/7c32b26be68285dc10dae36fd5789cdcaf670ebd.jpeg,2016,1.0,Centre,-186676.10689087218,6126051.290587812
1-362,Pose de cendriers de rue,Mise en place de cendriers de rue.,Réalisé,https://fabriquecitoyenne.rennes.fr/projects/budget-participatif-2016/collect/collecte-des-propositions-1/proposals/pose-de-cendriers-de-rue,https://fabriquecitoyenne.rennes.fr/media/default/0001/02/9a71c3eab595356bd9ec2ec356c9669093c020d7.jpeg,2016,1.0,Centre,-186794.662148567,6126123.988325799
1-362,Pose de cendriers de rue,Mise en place de cendriers de rue.,Réalisé,https://fabriquecitoyenne.rennes.fr/projects/budget-participatif-2016/collect/collecte-des-propositions-1/proposals/pose-de-cendriers-de-rue,https://fabriquecitoyenne.rennes.fr/media/default/0001/02/9a71c3eab595356bd9ec2ec356c9669093c020d7.jpeg,2016,1.0,Centre,-187057.26482734835,6124958.06436414
1-362,Pose de cendriers de rue,Mise en place de cendriers de rue.,Réalisé,https://fabriquecitoyenne.rennes.fr/projects/budget-participatif-2016/collect/collecte-des-propositions-1/proposals/pose-de-cendriers-de-rue,https://fabriquecitoyenne.rennes.fr/media/default/0001/02/9a71c3eab595356bd9ec2ec356c9669093c020d7.jpeg,2016,1.0,Centre,-186188.86147967,6124835.529017606
1-364,"Pose de bancs publics et chaises fixées au sol
Rue Honoré Commeurec","Il s'agit de renforcer la présence de bancs sur l'espace public, adaptés aux personnes âgées et en situation de handicap.",Réalisé,https://fabriquecitoyenne.rennes.fr/projects/budget-participatif-2016/collect/collecte-des-propositions-1/proposals/pose-de-bancs-publics-et-chaises-fixees-au-sol,https://fabriquecitoyenne.rennes.fr/media/default/0001/01/1edbae604895c983b7e89cd123e70529ef9c7aae.jpeg,2016,,,-186975.89027957845,6124906.882720564
1-366,"Fontaine place du Parlement, kiosque à bistrot place Hoche","Installation d'un ""mégabanc"", sous la forme d'une plateforme en bois d'acacia, en intégrera les arbres de la place.",Réalisé,https://fabriquecitoyenne.rennes.fr/projects/budget-participatif-2016/collect/collecte-des-propositions-1/proposals/fontaine-place-du-parlement-kiosque-a-bistrot-place-hoche,https://fabriquecitoyenne.rennes.fr/media/default/0001/01/7c32b26be68285dc10dae36fd5789cdcaf670ebd.jpeg,2016,1.0,Centre,-186676.10689087218,6126051.290587812
1-436,"""Des jardins flottants"" Végétaliser la vilaine","Il s'agit d'expérimenter l'installation de jardins flottants sur le fleuve, afin de végétaliser les bords de la Vilaine.",Réalisé,https://fabriquecitoyenne.rennes.fr/projects/budget-participatif-2016/collect/collecte-des-propositions-1/proposals/des-jardins-flottants-vegetaliser-la-vilaine,https://fabriquecitoyenne.rennes.fr/media/default/0001/01/10cd83410c0026a98832dd4cdfe29bbd0f054bd8.jpeg,2016,,,-186657.18257743734,6125187.301861079
1-513,Bibliothèque de rue,Mise en place d'une bibliothèque de rue square de la Rance,Réalisé,https://fabriquecitoyenne.rennes.fr/projects/budget-participatif-2016/collect/collecte-des-propositions-1/proposals/bibliotheque-de-rue-1,https://fabriquecitoyenne.rennes.fr/media/default/0001/01/c1978bf6a1ce68bd21862e502fb4f8f75377a917.jpeg,2016,1.0,Centre,-189083.94747673068,6128389.098693355
1-560,"Croque-Rennes
Parc du Landry","Création de boîtes à livres ludiques dans les parcs, sur les places et à côté des association de quartier. 24 boîtes à livres sont proposés sur le territoire rennais, pour que tout le monde puisse déposer et prendre un ou plusieurs livres qu'il a envie de lire, puis peut les remettre pour que d'autres personnes en profitent à leur tour.",Réalisé,https://fabriquecitoyenne.rennes.fr/projects/budget-participatif-2016/collect/collecte-des-propositions-1/proposals/croque-rennes,https://fabriquecitoyenne.rennes.fr/media/default/0001/01/1293bee63ded3bbaff47f8448c1cb3498c363cd2.jpeg,2016,,,-183073.25157134788,6123085.0486864
1-560,"Croque-Rennes
Centre socio-culturel","Création de boîtes à livres ludiques dans les parcs, sur les places et à côté des association de quartier. 24 boîtes à livres sont proposés sur le territoire rennais, pour que tout le monde puisse déposer et prendre un ou plusieurs livres qu'il a envie de lire, puis peut les remettre pour que d'autres personnes en profitent à leur tour.",Réalisé,https://fabriquecitoyenne.rennes.fr/projects/budget-participatif-2016/collect/collecte-des-propositions-1/proposals/croque-rennes,https://fabriquecitoyenne.rennes.fr/media/default/0001/01/e19749103030b453c7c5fc67ce7a4f7c6af7642a.jpeg,2016,,,-184356.76530019433,6128950.507775927
