C0001 Cafe,Donuts,Frites,Coca
C0002 Donuts,Potatoes,Wrap
C0003 Sprite,Potatoes,Salade
C0004 Wrap,Cafe,Eau
C0005 Milk-Shake,Hamburger,Sprite,Salade
C0006 Wrap,Sprite,Potatoes
C0007 Cookies,Eau
C0008 Sprite,Eau
C0009 Wrap,Eau,Salade
C0010 Milk-Shake,Glace,Wrap
C0011 Sprite,Wrap,Glace,Cafe
C0012 Donuts,Milk-Shake,Salade
C0013 Milk-Shake,Donuts,Cookies
C0014 Cafe,Donuts
C0015 Frites,Coca,Hamburger,Donuts
C0016 Sprite,Glace,Wrap,Hamburger
C0017 Cookies,Donuts
C0018 Coca,Frites,Milk-Shake,Salade
C0019 Wrap,Eau,Nuggets
C0020 Nuggets,Frites,Cafe
C0021 Milk-Shake,Glace,Donuts,Sprite
C0022 Donuts,Cookies,Cafe
C0023 Cookies,Glace,Donuts,Frites
C0024 Nuggets,Wrap
C0025 Milk-Shake,Salade,Eau
C0026 Milk-Shake,Frites,Hamburger,Glace
C0027 Nuggets,Salade,Cafe
C0028 Donuts,Cafe,Cookies
C0029 Nuggets,Eau,Salade
C0030 Cookies,Frites,Coca
C0031 Donuts,Potatoes,Cafe
C0032 Frites,Cookies,Nuggets,Milk-Shake
C0033 Wrap,Hamburger,Sprite
C0034 Nuggets,Donuts,Salade,Eau
C0035 Potatoes,Glace,Cookies
C0036 Milk-Shake,Donuts,Cookies
C0037 Sprite,Donuts,Hamburger,Potatoes
C0038 Potatoes,Sprite
C0039 Cafe,Donuts
C0040 Hamburger,Nuggets,Potatoes,Eau
C0041 Frites,Hamburger,Glace
C0042 Donuts,Cafe
C0043 Sprite,Wrap,Eau,Nuggets
C0044 Donuts,Glace,Cafe
C0045 Cafe,Potatoes,Sprite
C0046 Hamburger,Glace,Nuggets,Eau,Frites
C0047 Sprite,Potatoes,Salade
C0048 Eau,Donuts
C0049 Eau,Potatoes
C0050 Donuts,Frites,Glace,Hamburger,Coca
C0051 Glace,Wrap,Cafe,Hamburger
C0052 Eau,Donuts,Wrap
C0053 Glace,Donuts
C0054 Hamburger,Potatoes,Salade,Donuts
C0055 Cafe,Donuts
C0056 Glace,Cafe
C0057 Sprite,Glace,Coca
C0058 Sprite,Donuts,Cafe
C0059 Coca,Glace,Frites,Eau
C0060 Frites,Salade,Cafe
C0061 Frites,Eau,Salade,Glace
C0062 Eau,Milk-Shake,Cafe,Salade
C0063 Wrap,Cafe,Coca,Sprite
C0064 Cafe,Donuts
C0065 Salade,Cafe
C0066 Donuts,Glace
C0067 Salade,Nuggets,Hamburger
C0068 Milk-Shake,Wrap,Sprite,Salade
C0069 Potatoes,Nuggets,Eau
C0070 Hamburger,Glace,Wrap,Milk-Shake,Coca
C0071 Salade,Potatoes,Nuggets
C0072 Cafe,Cookies,Milk-Shake
C0073 Potatoes,Frites,Sprite
C0074 Cafe,Donuts
C0075 Milk-Shake,Donuts
C0076 Frites,Cookies,Glace
C0077 Milk-Shake,Nuggets,Eau
C0078 Salade,Hamburger,Nuggets,Donuts
C0079 Milk-Shake,Cookies
C0080 Coca,Cookies,Milk-Shake,Hamburger
C0081 Nuggets,Frites,Hamburger,Coca
C0082 Sprite,Cookies,Donuts
C0083 Eau,Glace,Nuggets
C0084 Eau,Coca
C0085 Wrap,Milk-Shake,Potatoes
C0086 Cafe,Potatoes
C0087 Milk-Shake,Nuggets,Eau
C0088 Glace,Donuts,Potatoes
C0089 Cookies,Milk-Shake,Sprite
C0090 Eau,Milk-Shake,Coca
C0091 Frites,Donuts,Glace,Hamburger
C0092 Wrap,Glace,Frites
C0093 Hamburger,Frites,Donuts,Glace
C0094 Milk-Shake,Cookies
C0095 Potatoes,Cookies,Sprite,Milk-Shake
